Localização,Formato_Localizacao,Pais_Localizacao,Consistencia_Pais_Completa,Problemas_Localizacao,Localização_Padronizada,Cidade_Padronizada,Estado_Padronizado,Pais_Localizacao_Padronizado,Consistencia_Validada
Ireland,Apenas País,Ireland,Consistente,['OK'],Ireland,,,Ireland,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
"São Paulo, São Paulo, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"São Paulo, São Paulo, Brazil",São Paulo,São Paulo,Brazil,True
"Marinha Grande, Leiria, Portugal","Cidade, Estado, País",Portugal,Apenas Localização tem país,['OK'],"Marinha Grande, Leiria, Portugal",Marinha Grande,Leiria,Portugal,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Gosport, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Gosport, England, United Kingdom",Gosport,England,United Kingdom,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
"Nordhausen, Thuringia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Nordhausen, Thuringia, Germany",Nordhausen,Thuringia,Germany,True
"Huangpu District, Shanghai, China","Cidade, Estado, País",China,Apenas Localização tem país,['OK'],"Huangpu District, Shanghai, China",Huangpu District,Shanghai,China,True
"Wrocław, Dolnośląskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Wrocław, Dolnośląskie, Poland",Wrocław,Dolnośląskie,Poland,True
"Munich, Bavaria, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
Greater Marseille Metropolitan Area,Apenas País,Greater Marseille Metropolitan Area,Inconsistente,['OK'],Greater Marseille Metropolitan Area,,,Greater Marseille Metropolitan Area,False
"Nordhofen, Rhineland-Palatinate, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Nordhofen, Rhineland-Palatinate, Germany",Nordhofen,Rhineland-Palatinate,Germany,True
Greater Lyon Area,Apenas País,Greater Lyon Area,Apenas Localização tem país,['OK'],"Lyon, Auvergne-Rhône-Alpes, France",Lyon,Auvergne-Rhône-Alpes,France,True
"Gressy, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Gressy, Ile-de-France, France",Gressy,Ile-de-France,France,True
"São Paulo, São Paulo, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"São Paulo, São Paulo, Brazil",São Paulo,São Paulo,Brazil,True
"São Paulo, São Paulo, Brazil","Cidade, Estado, País",Brazil,Consistente,['OK'],"São Paulo, São Paulo, Brazil",São Paulo,São Paulo,Brazil,True
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Inconsistente,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,False
"St.-Denis, Île-de-France, France","Cidade, Estado, País",France,Consistente,['Caracteres especiais'],"St.-Denis, Ile-de-France, France",St.-Denis,Ile-de-France,France,True
"Waterloo, Walloon Region, Belgium","Cidade, Estado, País",Belgium,Consistente,['OK'],"Waterloo, Walloon Region, Belgium",Waterloo,Walloon Region,Belgium,True
"Rostock Area, Germany","Cidade, País",Germany,Apenas Localização tem país,['OK'],"Rostock Area, Germany",Rostock Area,,Germany,True
"Pau Area, France","Cidade, País",France,Consistente,['OK'],"Pau Area, France",Pau Area,,France,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Apenas Localização tem país,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
Greater Munich Metropolitan Area,Apenas País,Greater Munich Metropolitan Area,Apenas Localização tem país,['OK'],"Munich, Bavaria, Germany",Munich,Bavaria,Germany,True
"Oviedo, Principality of Asturias, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Oviedo, Principality of Asturias, Spain",Oviedo,Principality of Asturias,Spain,True
"Emsdetten, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Emsdetten, North Rhine-Westphalia, Germany",Emsdetten,North Rhine-Westphalia,Germany,True
"Emsdetten, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Emsdetten, North Rhine-Westphalia, Germany",Emsdetten,North Rhine-Westphalia,Germany,True
Greater Oxford Area,Apenas País,Greater Oxford Area,Inconsistente,['OK'],Greater Oxford Area,,,Greater Oxford Area,False
Greater Oxford Area,Apenas País,Greater Oxford Area,Inconsistente,['OK'],Greater Oxford Area,,,Greater Oxford Area,False
"Paris 15, Île-de-France, France","Cidade, Estado, País",France,Consistente,['Contém números'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Dublin, County Dublin, Ireland","Cidade, Estado, País",Ireland,Consistente,['OK'],"Dublin, County Dublin, Ireland",Dublin,County Dublin,Ireland,True
"Dublin, County Dublin, Ireland","Cidade, Estado, País",Ireland,Consistente,['OK'],"Dublin, County Dublin, Ireland",Dublin,County Dublin,Ireland,True
"South Gyeongsang, South Korea","Cidade, País",South Korea,Apenas Localização tem país,['OK'],"South Gyeongsang, South Korea",South Gyeongsang,,South Korea,True
"Toulouse, Occitanie, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Toulouse, Occitanie, France",Toulouse,Occitanie,France,True
"Toulouse, Occitanie, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Toulouse, Occitanie, France",Toulouse,Occitanie,France,True
"Toulouse, Occitanie, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Toulouse, Occitanie, France",Toulouse,Occitanie,France,True
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Apenas Localização tem país,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
"Weiterstadt, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Weiterstadt, Hesse, Germany",Weiterstadt,Hesse,Germany,True
"Gdańsk, Pomorskie, Poland","Cidade, Estado, País",Poland,Apenas Localização tem país,['OK'],"Gdańsk, Pomorskie, Poland",Gdańsk,Pomorskie,Poland,True
United Kingdom,Apenas País,United Kingdom,Consistente,['OK'],United Kingdom,,,United Kingdom,True
United Kingdom,Apenas País,United Kingdom,Consistente,['OK'],United Kingdom,,,United Kingdom,True
"Luxembourg, Luxembourg, Luxembourg","Cidade, Estado, País",Luxembourg,Consistente,['OK'],"Luxembourg, Luxembourg, Luxembourg",Luxembourg,Luxembourg,Luxembourg,True
"Ballyward, Northern Ireland, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Ballyward, Northern Ireland, United Kingdom",Ballyward,Northern Ireland,United Kingdom,True
"Ballyward, Northern Ireland, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Ballyward, Northern Ireland, United Kingdom",Ballyward,Northern Ireland,United Kingdom,True
"Ballyward, Northern Ireland, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Ballyward, Northern Ireland, United Kingdom",Ballyward,Northern Ireland,United Kingdom,True
"Ballyward, Northern Ireland, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Ballyward, Northern Ireland, United Kingdom",Ballyward,Northern Ireland,United Kingdom,True
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Inconsistente,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,False
Frankfurt Rhine-Main Metropolitan Area,Apenas País,Frankfurt Rhine-Main Metropolitan Area,Inconsistente,['OK'],Frankfurt Rhine-Main Metropolitan Area,,,Frankfurt Rhine-Main Metropolitan Area,False
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Apenas Localização tem país,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
"Paris Area, France","Cidade, País",France,Consistente,['OK'],"Paris Area, France",Paris Area,,France,True
"Paris Area, France","Cidade, País",France,Consistente,['OK'],"Paris Area, France",Paris Area,,France,True
"Lyon Area, France","Cidade, País",France,Consistente,['OK'],"Lyon Area, France",Lyon Area,,France,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Madrid, Community of Madrid, Spain",Madrid,Community of Madrid,Spain,True
"Gdynia, Pomorskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Gdynia, Pomorskie, Poland",Gdynia,Pomorskie,Poland,True
Greater Bremen Area,Apenas País,Greater Bremen Area,Inconsistente,['OK'],Greater Bremen Area,,,Greater Bremen Area,False
Greater Bremen Area,Apenas País,Greater Bremen Area,Inconsistente,['OK'],Greater Bremen Area,,,Greater Bremen Area,False
"Leipzig, Saxony, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Leipzig, Saxony, Germany",Leipzig,Saxony,Germany,True
"Leipzig, Saxony, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Leipzig, Saxony, Germany",Leipzig,Saxony,Germany,True
"Chelmsford, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Chelmsford, England, United Kingdom",Chelmsford,England,United Kingdom,True
"Föhren, Rhineland-Palatinate, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Föhren, Rhineland-Palatinate, Germany",Föhren,Rhineland-Palatinate,Germany,True
"Roßdorf, Hesse, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Roßdorf, Hesse, Germany",Roßdorf,Hesse,Germany,True
"Barcelona, Catalonia, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
"Barcelona, Catalonia, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
"Barcelona, Catalonia, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,True
Greater Karlsruhe Area,Apenas País,Greater Karlsruhe Area,Apenas Localização tem país,['OK'],Greater Karlsruhe Area,,,Greater Karlsruhe Area,True
Spain,Apenas País,Spain,Apenas Localização tem país,['OK'],"Capital, Spain",Capital,,Spain,True
Spain,Apenas País,Spain,Apenas Localização tem país,['OK'],"Capital, Spain",Capital,,Spain,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Duffel, Flemish Region, Belgium","Cidade, Estado, País",Belgium,Apenas Localização tem país,['OK'],"Duffel, Flemish Region, Belgium",Duffel,Flemish Region,Belgium,True
Greater Reading Area,Apenas País,Greater Reading Area,Inconsistente,['OK'],Greater Reading Area,,,Greater Reading Area,False
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
Greater Bielefeld Area,Apenas País,Greater Bielefeld Area,Inconsistente,['OK'],Greater Bielefeld Area,,,Greater Bielefeld Area,False
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Lublin, Lubelskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Lublin, Lubelskie, Poland",Lublin,Lubelskie,Poland,True
"Lublin, Lubelskie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Lublin, Lubelskie, Poland",Lublin,Lubelskie,Poland,True
"La Línea, Andalusia, Spain","Cidade, Estado, País",Spain,Apenas Localização tem país,['OK'],"La Línea, Andalusia, Spain",La Línea,Andalusia,Spain,True
Ruhr Region,Apenas País,Ruhr Region,Apenas Localização tem país,['OK'],Ruhr Region,,,Ruhr Region,True
Ruhr Region,Apenas País,Ruhr Region,Apenas Localização tem país,['OK'],Ruhr Region,,,Ruhr Region,True
Ruhr Region,Apenas País,Ruhr Region,Apenas Localização tem país,['OK'],Ruhr Region,,,Ruhr Region,True
Ruhr Region,Apenas País,Ruhr Region,Apenas Localização tem país,['OK'],Ruhr Region,,,Ruhr Region,True
Ruhr Region,Apenas País,Ruhr Region,Apenas Localização tem país,['OK'],Ruhr Region,,,Ruhr Region,True
"Waterlooville, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Waterlooville, England, United Kingdom",Waterlooville,England,United Kingdom,True
Cologne Bonn Region,Apenas País,Cologne Bonn Region,Inconsistente,['OK'],Cologne Bonn Region,,,Cologne Bonn Region,False
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Inconsistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,False
"Bordeaux, Nouvelle-Aquitaine, France","Cidade, Estado, País",France,Apenas Localização tem país,['OK'],"Bordeaux, Nouvelle-Aquitaine, France",Bordeaux,Nouvelle-Aquitaine,France,True
Greater Paris Metropolitan Region,Apenas País,Greater Paris Metropolitan Region,Apenas Localização tem país,['OK'],"Paris, Île-de-France, France",Paris,Île-de-France,France,True
"Temascalapa, México, Mexico","Cidade, Estado, País",Mexico,Apenas Localização tem país,['OK'],"Temascalapa, México, Mexico",Temascalapa,México,Mexico,True
"Las Rozas de Madrid, Community of Madrid, Spain","Cidade, Estado, País",Spain,Consistente,['OK'],"Las Rozas de Madrid, Community of Madrid, Spain",Las Rozas de Madrid,Community of Madrid,Spain,True
Greater Valencia Metropolitan Area,Apenas País,Greater Valencia Metropolitan Area,Apenas Localização tem país,['OK'],Greater Valencia Metropolitan Area,,,Greater Valencia Metropolitan Area,True
"Dresden, Saxony, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Dresden, Saxony, Germany",Dresden,Saxony,Germany,True
Berlin Metropolitan Area,Apenas País,Berlin Metropolitan Area,Inconsistente,['OK'],Berlin Metropolitan Area,,,Berlin Metropolitan Area,False
"Gibraltar, Gibraltar","Cidade, País",Gibraltar,Consistente,['OK'],"Gibraltar, Gibraltar",Gibraltar,,Gibraltar,True
"Gibraltar, Gibraltar","Cidade, País",Gibraltar,Consistente,['OK'],"Gibraltar, Gibraltar",Gibraltar,,Gibraltar,True
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Inconsistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,False
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Inconsistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,False
Greater Barcelona Metropolitan Area,Apenas País,Greater Barcelona Metropolitan Area,Inconsistente,['OK'],"Barcelona, Catalonia, Spain",Barcelona,Catalonia,Spain,False
"Warsaw, Mazowieckie, Poland","Cidade, Estado, País",Poland,Consistente,['OK'],"Warsaw, Mazowieckie, Poland",Warsaw,Mazowieckie,Poland,True
"Birmingham, England, United Kingdom","Cidade, Estado, País",United Kingdom,Consistente,['OK'],"Birmingham, England, United Kingdom",Birmingham,England,United Kingdom,True
"Lyon, Auvergne-Rhône-Alpes, France","Cidade, Estado, País",France,Consistente,['OK'],"Lyon, Auvergne-Rhone-Alpes, France",Lyon,Auvergne-Rhone-Alpes,France,True
"Issy-les-Moulineaux, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Issy-les-Moulineaux, Ile-de-France, France",Issy-les-Moulineaux,Ile-de-France,France,True
Charleroi Metropolitan Area,Apenas País,Charleroi Metropolitan Area,Inconsistente,['OK'],Charleroi Metropolitan Area,,,Charleroi Metropolitan Area,False
Charleroi Metropolitan Area,Apenas País,Charleroi Metropolitan Area,Inconsistente,['OK'],Charleroi Metropolitan Area,,,Charleroi Metropolitan Area,False
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Düsseldorf, North Rhine-Westphalia, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Düsseldorf, North Rhine-Westphalia, Germany",Düsseldorf,North Rhine-Westphalia,Germany,True
"Wallingford, England, United Kingdom","Cidade, Estado, País",United Kingdom,Apenas Localização tem país,['OK'],"Wallingford, England, United Kingdom",Wallingford,England,United Kingdom,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
Germany,Apenas País,Germany,Consistente,['OK'],"Capital, Germany",Capital,,Germany,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Paris, Île-de-France, France","Cidade, Estado, País",France,Consistente,['OK'],"Paris, Ile-de-France, France",Paris,Ile-de-France,France,True
"Berlin, Berlin, Germany","Cidade, Estado, País",Germany,Consistente,['OK'],"Berlin, Berlin, Germany",Berlin,Berlin,Germany,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
"Nuremberg, Bavaria, Germany","Cidade, Estado, País",Germany,Apenas Localização tem país,['OK'],"Nuremberg, Bavaria, Germany",Nuremberg,Bavaria,Germany,True
