País da empresa,Localização da empresa,Estado,Cidade,Cidade_empresa,Estado_empresa,Localizacao_empresa_padronizada,Cidade_empresa_padronizada,Estado_empresa_padronizada,Pais_empresa_padronizada,Pais_consistente
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Germany,"Berlin, Berlin, Germany",,,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Munich, Bavaria",England,Gloucester,Munich,Bavaria,"Munich, Bavaria",Munich,,Bavaria,Bavaria
Spain,"Barcelona, Catalonia, Spain",Catalonia,Barcelona,Barcelona,Catalonia,"Barcelona, Catalunha, Espanha",Barcelona,Catalunha,Espanha,Espanha
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Poland,"Cracow, Małopolskie, Poland",Małopolskie,Krzeszowice,Cracow,Małopolskie,"Cracow, Pequena Polônia, Polônia",Cracow,Pequena Polônia,Polônia,Polônia
France,"Paris, Île-de-France, France",Île-de-France,Paris,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Poland,"Wrocław, Dolnośląskie, Poland",Pomorskie,Gdynia,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
France,"Paris, Île-de-France, France",Centre-Val de Loire,Auneau,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Courbevoie, Île-de-France, France",Centre-Val de Loire,Auneau,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
France,"Courbevoie, Île-de-France, France",Centre-Val de Loire,Auneau,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
France,"Paris, Île-de-France, France",,,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
United Kingdom,"Greater London, England, United Kingdom",England,Basingstoke,Greater London,England,"Greater London, Inglaterra, Reino Unido",Greater London,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",England,London,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",England,London,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Spain,"Zaragoza, Aragon",Aragon,Zaragoza,Zaragoza,Aragon,"Zaragoza, Aragon",Zaragoza,,Aragon,Aragon
Spain,"Zaragoza, Aragon",Aragon,Zaragoza,Zaragoza,Aragon,"Zaragoza, Aragon",Zaragoza,,Aragon,Aragon
Lithuania,"Vilnius, Vilniaus, Lithuania",Vilniaus,Vilnius,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
Lithuania,"Vilnius, Vilniaus, Lithuania",Vilniaus,Vilnius,Vilnius,Vilniaus,"Vilnius, Vilnius, Lituânia",Vilnius,Vilnius,Lituânia,Lituânia
United Kingdom,"London, England, United Kingdom",England,Liverpool Street,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Spain,"Barcelona, Catalonia, Spain",,,Barcelona,Catalonia,"Barcelona, Catalunha, Espanha",Barcelona,Catalunha,Espanha,Espanha
Germany,Germany,Saarland,Saarbrücken,Germany,,Germany,Germany,,,Germany
Germany,Germany,Saarland,Saarbrücken,Germany,,Germany,Germany,,,Germany
Germany,Germany,Saarland,Saarbrücken,Germany,,Germany,Germany,,,Germany
Poland,"Gdańsk, Pomorskie, Poland",Pomorskie,Gdynia,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
Germany,"Nuremberg, Bavaria, Germany",,,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",,,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
France,"Boulogne-Billancourt, Île-de-France, France",England,Cronton,Boulogne-Billancourt,Île-de-France,"Boulogne-Billancourt, Ilha De França, França",Boulogne-Billancourt,Ilha De França,França,França
United Kingdom,"Shipley, England, United Kingdom",England,Chorley,Shipley,England,"Shipley, Inglaterra, Reino Unido",Shipley,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Chafford Hundred,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Gaimersheim, Bavaria, Germany",Bavaria,Ingolstadt,Gaimersheim,Bavaria,"Gaimersheim, Baviera, Alemanha",Gaimersheim,Baviera,Alemanha,Alemanha
Germany,"Gaimersheim, Bavaria, Germany",Bavaria,Ingolstadt,Gaimersheim,Bavaria,"Gaimersheim, Baviera, Alemanha",Gaimersheim,Baviera,Alemanha,Alemanha
France,"La Cresse, Occitanie, France",Minas Gerais,Ubá,La Cresse,Occitanie,"La Cresse, Occitanie, França",La Cresse,Occitanie,França,França
France,"La Cresse, Occitanie, France",Minas Gerais,Ubá,La Cresse,Occitanie,"La Cresse, Occitanie, França",La Cresse,Occitanie,França,França
France,"Levallois-Perret, Île-de-France, France",,,Levallois-Perret,Île-de-France,"Levallois-Perret, Ilha De França, França",Levallois-Perret,Ilha De França,França,França
France,"Levallois-Perret, Île-de-France, France",,,Levallois-Perret,Île-de-France,"Levallois-Perret, Ilha De França, França",Levallois-Perret,Ilha De França,França,França
France,"Levallois-Perret, Île-de-France, France",,,Levallois-Perret,Île-de-France,"Levallois-Perret, Ilha De França, França",Levallois-Perret,Ilha De França,França,França
United Kingdom,"London, England, United Kingdom",West Bengal,Baduria,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",West Bengal,Baduria,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Ireland,"Dublin, County Dublin, Ireland",,,Dublin,County Dublin,"Dublin, County Dublin, Irlanda",Dublin,County Dublin,Irlanda,Irlanda
Germany,"Markdorf, Baden-Württemberg, Germany",Bavaria,Nuremberg,Markdorf,Baden-Württemberg,"Markdorf, Baden-Württemberg, Alemanha",Markdorf,Baden-Württemberg,Alemanha,Alemanha
Spain,"Grandes, Castilla and Leon, Spain",São Paulo,São Paulo,Grandes,Castilla and Leon,"Grandes, Castilla And Leon, Espanha",Grandes,Castilla And Leon,Espanha,Espanha
Portugal,"Coimbra, Coimbra, Portugal",Leiria,Marinha Grande,Coimbra,Coimbra,"Coimbra, Coimbra, Portugal",Coimbra,Coimbra,Portugal,Portugal
United Kingdom,"London, England, United Kingdom",England,Gosport,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Gosport,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Gosport,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Gosport,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"Edinburgh, Scotland, United Kingdom",England,Gosport,Edinburgh,Scotland,"Edinburgh, Scotland, Reino Unido",Edinburgh,Scotland,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Gosport,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",England,Gosport,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",Bavaria,Nuremberg,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Nordhausen, Thuringia, Germany",Thuringia,Nordhausen,Nordhausen,Thuringia,"Nordhausen, Thuringia, Alemanha",Nordhausen,Thuringia,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",Shanghai,Huangpu District,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Poland,"Wrocław, Dolnośląskie, Poland",Dolnośląskie,Wrocław,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Germany,"Munich, Bavaria, Germany",Bavaria,Munich,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
France,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",,,Aix-en-Provence,Provence-Alpes-Côte d'Azur,"Aix-En-Provence, Provence-Alpes-Côte D'Azur, França",Aix-En-Provence,Provence-Alpes-Côte D'Azur,França,França
Germany,"Boppard, Rhineland-Palatinate, Germany",Rhineland-Palatinate,Nordhofen,Boppard,Rhineland-Palatinate,"Boppard, Rhineland-Palatinate, Alemanha",Boppard,Rhineland-Palatinate,Alemanha,Alemanha
France,"Bouguenais, Pays de la Loire, France",,,Bouguenais,Pays de la Loire,"Bouguenais, Pays De La Loire, França",Bouguenais,Pays De La Loire,França,França
France,"Paris, Île-de-France, France",Île-de-France,Gressy,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Brazil,"Agudos, São Paulo, Brazil",São Paulo,São Paulo,Agudos,São Paulo,"Agudos, São Paulo, Brasil",Agudos,São Paulo,Brasil,Brasil
Brazil,"Agudos, São Paulo, Brazil",São Paulo,São Paulo,Agudos,São Paulo,"Agudos, São Paulo, Brasil",Agudos,São Paulo,Brasil,Brasil
Germany,"Bergkirchen, Bavaria, Germany",,,Bergkirchen,Bavaria,"Bergkirchen, Baviera, Alemanha",Bergkirchen,Baviera,Alemanha,Alemanha
France,"Paris, Île-de-France, France",Île-de-France,St.-Denis,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Belgium,"Kontich, Flemish Region, Belgium",Walloon Region,Waterloo,Kontich,Flemish Region,"Kontich, Flemish Region, Bélgica",Kontich,Flemish Region,Bélgica,Bélgica
Germany,"Rostock, Mecklenburg-West Pomerania",,Rostock Area,Rostock,Mecklenburg-West Pomerania,"Rostock, Mecklenburg-West Pomerania",Rostock,,Mecklenburg-West Pomerania,Mecklenburg-West Pomerania
United States,"Paramus, New Jersey, United States",,Pau Area,Paramus,New Jersey,"Paramus, New Jersey, United States",Paramus,New Jersey,United States,United States
Spain,"Oria, Andalusia, Spain",Community of Madrid,Madrid,Oria,Andalusia,"Oria, Andalusia, Espanha",Oria,Andalusia,Espanha,Espanha
Spain,"Oria, Andalusia, Spain",Community of Madrid,Madrid,Oria,Andalusia,"Oria, Andalusia, Espanha",Oria,Andalusia,Espanha,Espanha
Spain,"Oria, Andalusia, Spain",Community of Madrid,Madrid,Oria,Andalusia,"Oria, Andalusia, Espanha",Oria,Andalusia,Espanha,Espanha
Spain,"Oria, Andalusia, Spain",Community of Madrid,Madrid,Oria,Andalusia,"Oria, Andalusia, Espanha",Oria,Andalusia,Espanha,Espanha
Spain,"Oria, Andalusia, Spain",Community of Madrid,Madrid,Oria,Andalusia,"Oria, Andalusia, Espanha",Oria,Andalusia,Espanha,Espanha
Germany,"Garching, Bavaria, Germany",,,Garching,Bavaria,"Garching, Baviera, Alemanha",Garching,Baviera,Alemanha,Alemanha
Germany,"Garching, Bavaria, Germany",,,Garching,Bavaria,"Garching, Baviera, Alemanha",Garching,Baviera,Alemanha,Alemanha
Spain,"Pola de Siero, Principality of Asturias, Spain",Principality of Asturias,Oviedo,Pola de Siero,Principality of Asturias,"Pola De Siero, Astúrias, Espanha",Pola De Siero,Astúrias,Espanha,Espanha
Germany,"Emsdetten, NRW",North Rhine-Westphalia,Emsdetten,Emsdetten,NRW,"Emsdetten, NRW",Emsdetten,,NRW,NRW
Germany,"Emsdetten, NRW",North Rhine-Westphalia,Emsdetten,Emsdetten,NRW,"Emsdetten, NRW",Emsdetten,,NRW,NRW
United Kingdom,"Oxford, England, United Kingdom",,,Oxford,England,"Oxford, Inglaterra, Reino Unido",Oxford,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"Oxford, England, United Kingdom",,,Oxford,England,"Oxford, Inglaterra, Reino Unido",Oxford,Inglaterra,Reino Unido,Reino Unido
Ireland,"Dublin 2, County Dublin, Ireland",Île-de-France,Paris 15,Dublin 2,County Dublin,"Dublin 2, County Dublin, Irlanda",Dublin 2,County Dublin,Irlanda,Irlanda
Germany,"Unterföhring, Bavaria",County Dublin,Dublin,Unterföhring,Bavaria,"Unterföhring, Bavaria",Unterföhring,,Bavaria,Bavaria
Germany,"Unterföhring, Bavaria",County Dublin,Dublin,Unterföhring,Bavaria,"Unterföhring, Bavaria",Unterföhring,,Bavaria,Bavaria
Singapore,"Singapore, Singapore",,South Gyeongsang,Singapore,Singapore,"Singapore, Singapore",Singapore,,Singapore,Singapore
France,"Paris, Île-de-France, France",Occitanie,Toulouse,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Occitanie,Toulouse,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Occitanie,Toulouse,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Spain,"Barcelona, Catalonia, Spain",,,Barcelona,Catalonia,"Barcelona, Catalunha, Espanha",Barcelona,Catalunha,Espanha,Espanha
Germany,"Weiterstadt, Hesse, Germany",Hesse,Weiterstadt,Weiterstadt,Hesse,"Weiterstadt, Hessen, Alemanha",Weiterstadt,Hessen,Alemanha,Alemanha
Poland,"Gdańsk, Pomorskie, Poland",Pomorskie,Gdańsk,Gdańsk,Pomorskie,"Gdańsk, Pomerânia, Polônia",Gdańsk,Pomerânia,Polônia,Polônia
,,,,,,United Kingdom,,,,United Kingdom
United Kingdom,"London, England, United Kingdom",,,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United States,"Seattle, Washington, United States",Luxembourg,Luxembourg,Seattle,Washington,"Seattle, Washington, United States",Seattle,Washington,United States,United States
United Kingdom,"London, England, United Kingdom",Northern Ireland,Ballyward,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Northern Ireland,Ballyward,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Northern Ireland,Ballyward,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",Northern Ireland,Ballyward,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Frankfurt am Main, Hesse, Germany",,,Frankfurt am Main,Hesse,"Frankfurt Am Main, Hessen, Alemanha",Frankfurt Am Main,Hessen,Alemanha,Alemanha
Germany,"Frankfurt am Main, Hesse, Germany",,,Frankfurt am Main,Hesse,"Frankfurt Am Main, Hessen, Alemanha",Frankfurt Am Main,Hessen,Alemanha,Alemanha
Spain,"Barcelona, Catalonia, Spain",,,Barcelona,Catalonia,"Barcelona, Catalunha, Espanha",Barcelona,Catalunha,Espanha,Espanha
France,"St.-Denis, Île-de-France, France",,Paris Area,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"St.-Denis, Île-de-France, France",,Paris Area,St.-Denis,Île-de-France,"St.-Denis, Ilha De França, França",St.-Denis,Ilha De França,França,França
France,"Lyon, Auvergne-Rhône-Alpes, France",,Lyon Area,Lyon,Auvergne-Rhône-Alpes,"Lyon, Auvergne-Rhône-Alpes, França",Lyon,Auvergne-Rhône-Alpes,França,França
France,"Courbevoie, Île-de-France, France",Île-de-France,Paris,Courbevoie,Île-de-France,"Courbevoie, Ilha De França, França",Courbevoie,Ilha De França,França,França
Germany,"Munich, Bavaria, Germany",Community of Madrid,Madrid,Munich,Bavaria,"Munich, Baviera, Alemanha",Munich,Baviera,Alemanha,Alemanha
Poland,"Wrocław, Dolnośląskie, Poland",Pomorskie,Gdynia,Wrocław,Dolnośląskie,"Wrocław, Baixa Silésia, Polônia",Wrocław,Baixa Silésia,Polônia,Polônia
Germany,"Bremen, Bremen, Germany",,,Bremen,Bremen,"Bremen, Bremen, Alemanha",Bremen,Bremen,Alemanha,Alemanha
Germany,"Bremen, Bremen, Germany",,,Bremen,Bremen,"Bremen, Bremen, Alemanha",Bremen,Bremen,Alemanha,Alemanha
Germany,"Leipzig, Saxony, Germany",Saxony,Leipzig,Leipzig,Saxony,"Leipzig, Saxony, Alemanha",Leipzig,Saxony,Alemanha,Alemanha
Germany,"Leipzig, Saxony, Germany",Saxony,Leipzig,Leipzig,Saxony,"Leipzig, Saxony, Alemanha",Leipzig,Saxony,Alemanha,Alemanha
United Kingdom,"Derby, England, United Kingdom",England,Chelmsford,Derby,England,"Derby, Inglaterra, Reino Unido",Derby,Inglaterra,Reino Unido,Reino Unido
Germany,"Föhren, Rhineland-Palatinate, Germany",Rhineland-Palatinate,Föhren,Föhren,Rhineland-Palatinate,"Föhren, Rhineland-Palatinate, Alemanha",Föhren,Rhineland-Palatinate,Alemanha,Alemanha
Germany,"Munich, Bavaria",Hesse,Roßdorf,Munich,Bavaria,"Munich, Bavaria",Munich,,Bavaria,Bavaria
Belgium,"Brussels, Brussels Region, Belgium",Catalonia,Barcelona,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
Belgium,"Brussels, Brussels Region, Belgium",Catalonia,Barcelona,Brussels,Brussels Region,"Brussels, Brussels Region, Bélgica",Brussels,Brussels Region,Bélgica,Bélgica
Spain,"Girona, Catalonia, Spain",Catalonia,Barcelona,Girona,Catalonia,"Girona, Catalunha, Espanha",Girona,Catalunha,Espanha,Espanha
Germany,"Frankfurt, Hesse, Germany",,,Frankfurt,Hesse,"Frankfurt, Hessen, Alemanha",Frankfurt,Hessen,Alemanha,Alemanha
Spain,"San Roque, Andalusia, Spain",,,San Roque,Andalusia,"San Roque, Andalusia, Espanha",San Roque,Andalusia,Espanha,Espanha
Spain,"San Roque, Andalusia, Spain",,,San Roque,Andalusia,"San Roque, Andalusia, Espanha",San Roque,Andalusia,Espanha,Espanha
Germany,"Düsseldorf, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Düsseldorf,North Rhine-Westphalia,"Düsseldorf, Renânia Do Norte-Vestfália, Alemanha",Düsseldorf,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Belgium,"Antwerp, Flemish Region, Belgium",Flemish Region,Duffel,Antwerp,Flemish Region,"Antwerp, Flemish Region, Bélgica",Antwerp,Flemish Region,Bélgica,Bélgica
United Kingdom,"Dorking, England, United Kingdom",,,Dorking,England,"Dorking, Inglaterra, Reino Unido",Dorking,Inglaterra,Reino Unido,Reino Unido
Germany,"Coblenz, Rhineland-Palatinate, Germany",Berlin,Berlin,Coblenz,Rhineland-Palatinate,"Coblenz, Rhineland-Palatinate, Alemanha",Coblenz,Rhineland-Palatinate,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",Berlin,Berlin,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
Germany,"Nuremberg, Bavaria, Germany",,,Nuremberg,Bavaria,"Nuremberg, Baviera, Alemanha",Nuremberg,Baviera,Alemanha,Alemanha
Germany,"Partenheim, Rhineland-Palatinate, Germany",,,Partenheim,Rhineland-Palatinate,"Partenheim, Rhineland-Palatinate, Alemanha",Partenheim,Rhineland-Palatinate,Alemanha,Alemanha
Germany,"Würzburg, Bavaria, Germany",,,Würzburg,Bavaria,"Würzburg, Baviera, Alemanha",Würzburg,Baviera,Alemanha,Alemanha
Poland,"Warsaw, Mazowieckie, Poland",Lubelskie,Lublin,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
Poland,"Warsaw, Mazowieckie, Poland",Lubelskie,Lublin,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
United Kingdom,"London, England, United Kingdom",Andalusia,La Línea,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Germany,"Münster, North Rhine-Westphalia, Germany",,,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Münster, North Rhine-Westphalia, Germany",,,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Münster, North Rhine-Westphalia, Germany",,,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Münster, North Rhine-Westphalia, Germany",,,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Münster, North Rhine-Westphalia, Germany",,,Münster,North Rhine-Westphalia,"Münster, Renânia Do Norte-Vestfália, Alemanha",Münster,Renânia Do Norte-Vestfália,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",England,Waterlooville,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Belgium,"Ottignies, Walloon Region, Belgium",,,Ottignies,Walloon Region,"Ottignies, Walloon Region, Bélgica",Ottignies,Walloon Region,Bélgica,Bélgica
Spain,"Barcelona, Catalonia, Spain",,,Barcelona,Catalonia,"Barcelona, Catalunha, Espanha",Barcelona,Catalunha,Espanha,Espanha
France,"Toulouse, Occitanie, France",Nouvelle-Aquitaine,Bordeaux,Toulouse,Occitanie,"Toulouse, Occitanie, França",Toulouse,Occitanie,França,França
France,"Labretonie, Nouvelle-Aquitaine, France",,,Labretonie,Nouvelle-Aquitaine,"Labretonie, Nouvelle-Aquitaine, França",Labretonie,Nouvelle-Aquitaine,França,França
Spain,"Alcobendas, Community of Madrid, Spain",México,Temascalapa,Alcobendas,Community of Madrid,"Alcobendas, Comunidade De Madrid, Espanha",Alcobendas,Comunidade De Madrid,Espanha,Espanha
Spain,"Logroño, Autonomía de La Rioja, Spain",Community of Madrid,Las Rozas de Madrid,Logroño,Autonomía de La Rioja,"Logroño, Autonomía De La Rioja, Espanha",Logroño,Autonomía De La Rioja,Espanha,Espanha
Spain,"Valencia/València, Comunidad Valenciana / Comunitat Valenciana",,,Valencia/València,Comunidad Valenciana / Comunitat Valenciana,"Valencia/València, Comunidad Valenciana / Comunitat Valenciana",Valencia/València,,Comunidad Valenciana / Comunitat Valenciana,Comunidad Valenciana / Comunitat Valenciana
Germany,"Bonn, North Rhine-Westphalia, Germany",Saxony,Dresden,Bonn,North Rhine-Westphalia,"Bonn, Renânia Do Norte-Vestfália, Alemanha",Bonn,Renânia Do Norte-Vestfália,Alemanha,Alemanha
Germany,"Berlin, Berlin, Germany",,,Berlin,Berlin,"Berlin, Berlin, Alemanha",Berlin,Berlin,Alemanha,Alemanha
United Kingdom,"London, England, United Kingdom",,Gibraltar,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
United Kingdom,"London, England, United Kingdom",,Gibraltar,London,England,"London, Inglaterra, Reino Unido",London,Inglaterra,Reino Unido,Reino Unido
Spain,"Sant Cugat del Vallès, Catalonia, Spain",,,Sant Cugat del Vallès,Catalonia,"Sant Cugat Del Vallès, Catalunha, Espanha",Sant Cugat Del Vallès,Catalunha,Espanha,Espanha
Spain,"Sant Cugat del Vallès, Catalonia, Spain",,,Sant Cugat del Vallès,Catalonia,"Sant Cugat Del Vallès, Catalunha, Espanha",Sant Cugat Del Vallès,Catalunha,Espanha,Espanha
Spain,"Sant Cugat del Vallès, Catalonia, Spain",,,Sant Cugat del Vallès,Catalonia,"Sant Cugat Del Vallès, Catalunha, Espanha",Sant Cugat Del Vallès,Catalunha,Espanha,Espanha
Poland,"Warsaw, Mazowieckie, Poland",Mazowieckie,Warsaw,Warsaw,Mazowieckie,"Warsaw, Mazowieckie, Polônia",Warsaw,Mazowieckie,Polônia,Polônia
United Kingdom,"Solihull, England, United Kingdom",England,Birmingham,Solihull,England,"Solihull, Inglaterra, Reino Unido",Solihull,Inglaterra,Reino Unido,Reino Unido
France,"Paris, Île-de-France, France",Auvergne-Rhône-Alpes,Lyon,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
France,"Paris, Île-de-France, France",Île-de-France,Issy-les-Moulineaux,Paris,Île-de-France,"Paris, Ilha De França, França",Paris,Ilha De França,França,França
Belgium,"Mons, Walloon Region, Belgium",,,Mons,Walloon Region,"Mons, Walloon Region, Bélgica",Mons,Walloon Region,Bélgica,Bélgica
Belgium,"Mons, Walloon Region, Belgium",,,Mons,Walloon Region,"Mons, Walloon Region, Bélgica",Mons,Walloon Region,Bélgica,Bélgica
Germany,"Bochum, North Rhine-Westphalia, Germany",North Rhine-Westphalia,Düsseldorf,Bochum,North Rhine-Westphalia,"Bochum, Renânia Do Norte-Vestfália, Alemanha",Bochum,Renânia Do Norte-Vestfália,Alemanha,Alemanha
