Geografia_ID,Cidade,Estado,Pais,Pais padronizado,Regiao Europa,Europa
GEO171,France,,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO172,Madrid,Comunidade De Madrid,Espanha,Spain,Europa do Sul,Europa
GEO173,Greater Tokyo Area,,Singapore,Singapore,Outros,Outros
GEO174,Senamiesčio Seniūnija,Vilnius,Lituania,Lithuania,Outros,Europa
GEO175,Meerbusch,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO176,Oeiras,Lisboa,Portugal,Portugal,Europa do Sul,Europa
GEO177,Kelkheim,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO178,Massy,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO179,St. Ingbert,Saarland,Alemanha,Germany,Europa Ocidental,Europa
GEO180,Isernhagen Farster Bauerschaft,Lower Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO181,Dresden,Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO182,Cascais,Lisboa,Portugal,Portugal,Europa do Sul,Europa
GEO183,Staines-Upon-Thames,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO184,Freiburg,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO185,Langenfeld,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO186,Nantes,Pays De La Loire,Franca,France,Europa Ocidental,Europa
GEO187,Gliwice,Śląskie,Polonia,Poland,Leste Europeu,Europa
GEO188,Bagneux,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO189,Bilbao,Basque Country,Espanha,Spain,Europa do Sul,Europa
GEO190,Dubai,Dubai,United Arab Emirates,United Arab Emirates,Outros,Outros
GEO191,Straubing,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO192,Fulda,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO193,Àrea Metropolitana De Barcelona,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO194,Limburg An Der Lahn,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO195,Echterdingen,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO196,Hargesheim,,Rheinland-Pfalz,Germany,Europa Ocidental,Europa
GEO197,Hildesheim,Lower Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO198,El Masnou,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO199,London Colney,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO200,Bordeaux,Nouvelle-Aquitaine,Franca,France,Europa Ocidental,Europa
GEO201,Tarragona,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO202,Bremen,,Bremen,Germany,Europa Ocidental,Europa
GEO203,France,,France,France,Europa Ocidental,Europa
GEO204,Ramonville-Saint-Agne,Occitanie,Franca,France,Europa Ocidental,Europa
GEO205,Bühl,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO206,São Paulo,São Paulo,Brasil,Brazil,Outros,Outros
GEO207,Saint-Herblain,Pays De La Loire,Franca,France,Europa Ocidental,Europa
GEO208,Gerlingen,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO209,Northampton,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO210,Gembloux,Walloon Region,Belgica,Belgium,Europa Ocidental,Europa
GEO211,Leverkusen,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO212,Valbonne,Provence-Alpes-Côte D'Azur,Franca,France,Europa Ocidental,Europa
GEO213,Bruges,Nouvelle-Aquitaine,Franca,France,Europa Ocidental,Europa
GEO214,Vaciamadrid,Comunidade De Madrid,Espanha,Spain,Europa do Sul,Europa
GEO215,Sonnenberg,Brandenburg,Alemanha,Germany,Europa Ocidental,Europa
GEO216,Regensburg,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO217,Reading,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO218,Marburg An Der Lahn,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO219,Chémery,Centre-Val De Loire,Franca,France,Europa Ocidental,Europa
GEO220,Poznan,Wielkopolskie,Polonia,Poland,Leste Europeu,Europa
GEO221,Metz,Grand Est,Franca,France,Europa Ocidental,Europa
GEO222,Hallstadt,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO223,Gütersloh,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO224,Brunswick,Lower Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO225,Leeds,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO226,Kaunas,Kaunas,Lituania,Lithuania,Outros,Europa
GEO227,Rennes,Brittany,Franca,France,Europa Ocidental,Europa
GEO228,Radolfzell,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO229,Vitrolles,Provence-Alpes-Côte D'Azur,Franca,France,Europa Ocidental,Europa
GEO230,Sant Just Desvern,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO231,Duisburg,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO232,St-Étienne,Auvergne-Rhône-Alpes,Franca,France,Europa Ocidental,Europa
GEO233,Sandwich,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO234,Schloß Holte,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO235,Greater Dublin,,Ireland,Ireland,Norte da Europa (Ilhas),Europa
GEO236,Labège,Occitanie,Franca,France,Europa Ocidental,Europa
GEO237,Schifferstadt,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO238,Pforzheim,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO239,Hannover,Lower Saxony,Alemanha,Germany,Europa Ocidental,Europa
GEO240,Krailling,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO241,Lübeck,Schleswig-Holstein,Alemanha,Germany,Europa Ocidental,Europa
GEO242,Wasquehal,Hauts-De-France,Franca,France,Europa Ocidental,Europa
GEO243,Manchester,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO244,Traunstein,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO245,Wiesloch,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO246,Möhnesee,,Nordrhein-Westfalen,Germany,Europa Ocidental,Europa
GEO247,St.-Ouen,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO248,Cornellà De Llobregat,Catalunha,Espanha,Spain,Europa do Sul,Europa
GEO249,Sèvres,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO250,Ilford,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO251,Seefeld,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO252,Dublin 12,County Dublin,Irlanda,Ireland,Norte da Europa (Ilhas),Europa
GEO253,Villeurbanne,Auvergne-Rhône-Alpes,Franca,France,Europa Ocidental,Europa
GEO254,Dreieich,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO255,Dublin,,Dublin,Ireland,Norte da Europa (Ilhas),Europa
GEO256,Porriño,Galicia,Espanha,Spain,Europa do Sul,Europa
GEO257,Hamm,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO258,Rosenheim,,Bayern,Germany,Europa Ocidental,Europa
GEO259,Bargteheide,Schleswig-Holstein,Alemanha,Germany,Europa Ocidental,Europa
GEO260,Sandbach,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO261,Troisdorf,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO262,Richmond Upon Thames,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO263,Guimarães,Braga,Portugal,Portugal,Europa do Sul,Europa
GEO264,Team Valley Trading Estate,Inglaterra,Reino Unido,United Kingdom,Norte da Europa (Ilhas),Europa
GEO265,Famalicão,Leiria,Portugal,Portugal,Europa do Sul,Europa
GEO266,Murcia,Región De Murcia,Espanha,Spain,Europa do Sul,Europa
GEO267,Kaiserslautern,Rhineland-Palatinate,Alemanha,Germany,Europa Ocidental,Europa
GEO268,Castellón De La Plana,Valencian Community,Espanha,Spain,Europa do Sul,Europa
GEO269,Gilching,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO270,Wiesbaden,Hessen,Alemanha,Germany,Europa Ocidental,Europa
GEO271,Torcy,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO272,Nivelles,Walloon Region,Belgica,Belgium,Europa Ocidental,Europa
GEO273,Wesel,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO274,Fleet Street,,England,United Kingdom,Norte da Europa (Ilhas),Europa
GEO275,Castanet-Tolosan,Occitanie,Franca,France,Europa Ocidental,Europa
GEO276,Walldorf,Baden-Württemberg,Alemanha,Germany,Europa Ocidental,Europa
GEO277,Suresnes,Ilha De França,Franca,France,Europa Ocidental,Europa
GEO278,Paderborn,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO279,Möhrendorf,Baviera,Alemanha,Germany,Europa Ocidental,Europa
GEO280,Würselen,Renânia Do Norte-Vestfália,Alemanha,Germany,Europa Ocidental,Europa
GEO281,Santo Tirso,Porto,Portugal,Portugal,Europa do Sul,Europa
GEO282,Curitiba,Paraná,Brasil,Brazil,Outros,Outros
GEO283,Maia,Porto,Portugal,Portugal,Europa do Sul,Europa
GEO284,Porto,Porto,Portugal,Portugal,Europa do Sul,Europa
GEO285,Portugal,,Portugal,Portugal,Europa do Sul,Europa
GEO286,Braga,Braga,Portugal,Portugal,Europa do Sul,Europa
GEO287,Ponte Do Lima,Viana Do Castelo,Portugal,Portugal,Europa do Sul,Europa
GEO288,Vila Nova De Famalicão,Braga,Portugal,Portugal,Europa do Sul,Europa
GEO289,Marco De Canavezes,Porto,Portugal,Portugal,Europa do Sul,Europa
GEO290,Oliveira De Azemeis,Aveiro,Portugal,Portugal,Europa do Sul,Europa
GEO291,Santiago Do Cacém,Setúbal,Portugal,Portugal,Europa do Sul,Europa
GEO292,,,Spain,Spain,Europa do Sul,Europa
GEO293,Palma,Balearic Islands,Espanha,Spain,Europa do Sul,Europa
GEO294,Seville,Andalusia,Espanha,Spain,Europa do Sul,Europa
GEO295,Puebla De Vallbona,Valencian Community,Espanha,Spain,Europa do Sul,Europa
GEO296,Vigo,Galicia,Espanha,Spain,Europa do Sul,Europa
GEO297,Ensenada,Baja California,Mexico,Mexico,Outros,Outros
GEO298,Mexico,,Mexico,Mexico,Outros,Outros
GEO299,Santarém,Santarém,Portugal,Portugal,Europa do Sul,Europa
GEO300,Milan,Lombardy,Italia,Italy,Europa do Sul,Europa
GEO301,Afghanistan,,Afghanistan,Afghanistan,Outros,Outros
GEO302,Seixal,Setúbal,Portugal,Portugal,Europa do Sul,Europa
GEO303,Leiria,Leiria,Portugal,Portugal,Europa do Sul,Europa
GEO304,Sintra,Lisboa,Portugal,Portugal,Europa do Sul,Europa
GEO305,Lisbon Metropolitan Area,,Portugal,Portugal,Europa do Sul,Europa
GEO306,São Roque Do Pico,Ilha Do Pico,Portugal,Portugal,Europa do Sul,Europa
GEO307,Loulé,Faro,Portugal,Portugal,Europa do Sul,Europa
GEO308,Torres Vedras,Lisboa,Portugal,Portugal,Europa do Sul,Europa
GEO309,Matosinhos,Porto,Portugal,Portugal,Europa do Sul,Europa
GEO310,Vilnius,Vilniaus,Lithuania,Lithuania,Outros,Europa
GEO311,Bonn,North Rhine-Westphalia,Germany,Germany,Europa Ocidental,Europa
GEO312,Mieres del Camino,Principality of Asturias,Spain,Spain,Europa do Sul,Europa
GEO313,Istanbul,Istanbul,Turkey,Turkey,Outros,Outros
GEO314,Liverpool,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO315,Neufahrn bei Freising,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO316,Castelldefels,Catalonia,Spain,Spain,Europa do Sul,Europa
GEO317,Lisbon,Lisbon,Portugal,Portugal,Europa do Sul,Europa
GEO318,Paris,Ile-de-France,France,France,Europa Ocidental,Europa
GEO319,Capital,,Germany,Germany,Europa Ocidental,Europa
GEO320,Gloucester,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO321,Barcelona,Catalonia,Spain,Spain,Europa do Sul,Europa
GEO322,Krzeszowice,Małopolskie,Poland,Poland,Leste Europeu,Europa
GEO323,Gdynia,Pomorskie,Poland,Poland,Leste Europeu,Europa
GEO324,Auneau,Centre-Val de Loire,France,France,Europa Ocidental,Europa
GEO325,,,Greater Toulouse Metropolitan Area,France,Europa Ocidental,Europa
GEO326,Basingstoke,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO327,London,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO328,Zaragoza,Aragon,Spain,Spain,Europa do Sul,Europa
GEO329,Liverpool Street,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO330,Saarbrücken,Saarland,Germany,Germany,Europa Ocidental,Europa
GEO331,Nuremberg,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO332,Cronton,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO333,Chorley,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO334,Chafford Hundred,England,United Kingdom,United Kingdom,Norte da Europa (Ilhas),Europa
GEO335,Ingolstadt,Bavaria,Germany,Germany,Europa Ocidental,Europa
GEO336,Ubá,Minas Gerais,Brazil,Brazil,Outros,Outros
