Nome,Nome_Consistente
Michael,True
Björn,True
Quentin,True
Rolf,True
Stefan,True
Karsten,True
Matthias,True
Wolfgang,True
Leon,True
Leon,True
Dominik,True
Jan,True
Tomasz,True
Deepal,True
Deepal,True
Richard,True
Martyna,True
Sharon,True
Martin,True
Dierk,True
Niclas,True
Robert,True
Cecile,True
Dr Antanas,False
Dr Antanas,False
Benjamin,True
Nilton,False
Samuel,True
Ashish,True
Aimar,True
Henrik,True
Christophe,True
Gangadhara,True
George,True
David,True
Anton,True
Ilya,True
Dominik,True
Marcin,True
Marcin,True
Marcin,True
Rakeeb,True
Steffen,True
Thomas,True
Jacques,True
Jacques,True
Dirk,True
Rui,True
Ricardo,True
Francisco,True
Francisco,True
Francisco,True
Jon,True
Ricardo,True
Nuno,True
Madalena,True
Madalena,True
Glenn,True
Mariano,True
Bernardo,True
Eric,True
Catarina,True
Mariana,True
Amanda,True
Diogo,True
Francisco,True
Frederico,True
Hugo,True
Pedro,True
Pedro,True
Pedro,True
Pedro,True
Natallia,True
Ricardo,True
Ricardo,True
Luis Andre,False
Carlos,True
David,True
Andrés,True
Carlos,True
Paul,True
Jordi,True
Adrian,True
Adrian,True
Sergio,True
Jaume,True
Natanael,False
Natanael,False
Natanael,False
Manuel,True
Kike,True
Aleksi,True
Kirti,True
Antonio,True
Javier,True
Ivan,True
Julian,True
Lucía,True
Patricia,True
Riku,True
Marisa,True
Marcos,True
Marina,True
Vanessa,True
Claudia,False
Leo,True
Marcin,True
Alicia,True
José M,False
David,True
David,True
Israel,True
Daniel,True
María,True
Stefano,True
Nicolas,True
Nicolas,True
Andres,True
Roberto,True
Rodrigo,True
Carla,True
Sandro,True
Arturo,True
Jose Luis,False
Mauricio,True
Fermin,True
Alexis,True
Alexis,True
Juan,True
Juan,True
Evelyn,True
Evelyn,True
Borja,True
David,True
Alberto,True
Joan,True
Rita,True
Alan,True
Ricardo,True
Ricardo,True
Miguel,True
Raul,True
Raul,True
Rodolfo,True
Rodolfo,True
Dora,True
Mário,True
Marco,True
André,True
Leo,True
Pedro,True
Andriy,True
Edgar,True
Sandu,True
Leonardo,False
Isabel,True
Enrique,True
Carlos,True
Cláudia,True
João,True
Pedro,True
Luis,True
Daniel,True
Rui,True
Rui,True
Joaquim,True
Antonio,False
Artur,True
Diogo,True
Nuno,True
Nuno,True
Guilherme,True
André,True
António,True
Renato,True
Miguel,True
Fernando,True
